example_id,start,end,tag,value,overlap
00c4e6f3-c779-4e4d-bae7-98a33093de21,42,75,Treaty,Migratory Bird Treaty Act of 1918,
01250b5a-76b0-43c4-8edf-294f93c4e802,159,176,Foreing Policy,national security,
014581cb-d84a-4340-9594-90b0990a1540,129,199,Agreement,Pursuant to our bilateral agreement with the State of Design Authority,
01667b11-1137-4d47-98b2-a628193e2e89,4,17,Foreing Policy,proposed rule,
01667b11-1137-4d47-98b2-a628193e2e89,258,323,Softlaw,foreign banks having insured branches are all subject to part 365,f
0220420e-ff09-437a-9a29-63061add66b0,370,664,Agreement,"Consistent with the recommendations of the RMD, the bilateral workplan would initially require trapping with 1 APHIS-approved trap per 12 hectares, with a minimum of 1 trap per place of production, beginning May 1 of each year and remaining in place and in service until harvesting is completed",
02916523-9dc1-4f33-a9ec-06d873182352,171,175,Softlaw,ISDA,
03ba4162-3fd9-4c7a-9bd0-e0281c90c40b,204,289,Softlaw,"consistent with established tire industry, European, or other international standards",
03ba94ae-0fb4-46dc-8303-0ec76909a397,27,184,Foreing Policy,"action is sufficient to ensure that the purposes of section 311 are fulfilled, and to guard against international money laundering and other financial crimes",
05452ddd-1441-424a-ad2d-eb31bf53cc81,214,241,Softlaw,international harmonization,
05529328-f13e-4f4e-a5cf-634476db0eae,239,262,Foreing Policy,American foreign policy,
05529328-f13e-4f4e-a5cf-634476db0eae,483,577,Foreing Policy,could result in embarrassment and incalculable harm to the foreign policy of the United States,f
055a9728-b84e-4ee1-b903-30f81d67e449,77,81,Foreing Policy,NPRM,
055a9728-b84e-4ee1-b903-30f81d67e449,186,195,statute,§ 107.200,f
055a9728-b84e-4ee1-b903-30f81d67e449,449,466,Foreing Policy,national security,f
0737f546-bef5-448f-b2de-2df2802a9694,0,127,Softlaw,"This product has been approved by the aviation authority of another country, and is approved for operation in the United States",
0737f546-bef5-448f-b2de-2df2802a9694,129,199,Agreement,Pursuant to our bilateral agreement with the State of Design Authority,f
0737f546-bef5-448f-b2de-2df2802a9694,201,246,Treaty,we have been notified of the unsafe condition,f
07c5c0c1-b56e-4c73-b0c8-d7876185bc16,30,74,Foreing Policy,"national security, or other relevant impacts",
08158609-b19f-4139-bf48-9370f7f0fe48,23,35,Softlaw,BE-12 report,
08158609-b19f-4139-bf48-9370f7f0fe48,136,500,Softlaw,"each U.S. business enterprise in which a foreign person (foreign parent) owned or controlled, directly or indirectly, 10 percent or more of the voting securities in an incorporated U.S. business enterprise, or an equivalent interest in an unincorporated U.S. business enterprise, at the end of the business enterprise's fiscal year that ended in calendar year 2017",f
096e72eb-18b2-466b-84aa-ad56b3e1b150,331,358,Softlaw,international harmonization,
096e72eb-18b2-466b-84aa-ad56b3e1b150,613,655,Softlaw,coordination with international regulators,f
