tag,value,agency,rule_id,rule_name,rule_type,example_id,dataset_name,reject,correct,reviewed
Treaty,The Migratory Bird Treaty Act of 1918,"""DEPARTMENT OF THE INTERIOR""","""[FR Doc. 2017-24117 Filed 11-3-17; 8:45 am]""","""Migratory Bird Hunting; Approval of Corrosion-Inhibited Copper Shot as Nontoxic for Waterfowl Hunting""","""rule""",151522db-3e13-4db4-a18b-217737bd409d,Fedreg Basic,,,f
Treaty,Migratory Bird Treaty Act of 1918,"""DEPARTMENT OF THE INTERIOR""","""[FR Doc. 2017-24117 Filed 11-3-17; 8:45 am]""","""Migratory Bird Hunting; Approval of Corrosion-Inhibited Copper Shot as Nontoxic for Waterfowl Hunting""","""rule""",00c4e6f3-c779-4e4d-bae7-98a33093de21,Fedreg Basic,,,f
Treaty,Migratory Bird Treaty Act,"""DEPARTMENT OF THE INTERIOR""","""[FR Doc. 2017-23702 Filed 10-31-17; 8:45 am]""","""Final Report: Review of the Department of the Interior Actions That Potentially Burden Domestic Energy""","""rule""",e7da7c93-49a0-45cd-bd80-2635a9a8a483,Fedreg Basic,,,f
Treaty,Migratory Bird Treaty Act,"""DEPARTMENT OF THE INTERIOR""","""[FR Doc. 2017-15471 Filed 7-24-17; 8:45 am]""","""Migratory Bird Permits; Control Order for Introduced Migratory Bird Species in Hawaii""","""rule""",d04171d3-8f0d-4de5-93d0-c81ee5e661d1,Fedreg Basic,,,f
Treaty,Endangered Species Act,"""DEPARTMENT OF THE INTERIOR""","""[FR Doc. 2017-15471 Filed 7-24-17; 8:45 am]""","""Migratory Bird Permits; Control Order for Introduced Migratory Bird Species in Hawaii""","""rule""",d04171d3-8f0d-4de5-93d0-c81ee5e661d1,Fedreg Basic,,,f
Treaty,Pacific Salmon Treaty Act,"""DEPARTMENT OF COMMERCE""","""[FR Doc. 2017-24715 Filed 11-14-17; 8:45 am]""","""Fraser River Sockeye and Pink Salmon Fisheries; Inseason Orders""","""rule""",4cd0af30-f01b-442b-98b3-0d029c330fd2,Fedreg Basic,,,f
Treaty,.S.-Canada Albacore Tuna Treaty,"""DEPARTMENT OF COMMERCE""","""[FR Doc. E7-2045 Filed 2-6-07; 8:45 am]""","""Pacific Albacore Tuna Fisheries; Vessel List to Establish Eligibility to Fish for Albacore Tuna in Canadian Waters Under the U.S.-Canada Albacore Tuna Treaty""","""prorule""",84f29ae5-07ea-4494-88c8-a03baf9faa57,Fedreg Basic,,,f
Softlaw,"ur bilateral agreement with Italy, EASA,","""DEPARTMENT OF TRANSPORTATION""","""[FR Doc. 2017-24738 Filed 11-22-17; 8:45 am]""","""Airworthiness Directives; Agusta S.p.A. Helicopters""","""rule""",66e202c0-b3a7-4018-8379-db4c8df00900,Fedreg Basic,,,f
Softlaw,Pursuant to our bilateral agreemen,"""DEPARTMENT OF TRANSPORTATION ""","""[FR Doc. E7-22441 Filed 11-15-07; 8:45 am] ""","""Airworthiness Directives; Bell Helicopter Textron Canada (BHTC) Model 222, 222B, and 222U Helicopters ""","""prorule""",eab1127a-5394-42d1-a9a8-78f2369219a8,Fedreg Basic,,,f
Softlaw,"Pursuant to our bilateral agreement with France,","""DEPARTMENT OF TRANSPORTATION""","""[FR Doc. 2018-16638 Filed 8-8-18; 8:45 am]""","""Airworthiness Directives; Airbus Helicopters""","""prorule""",7c40efe1-5baf-4579-bc12-239136d9ed66,Fedreg Basic,,,f
Softlaw,"Pursuant to our bilateral agreement with Canada,","""DEPARTMENT OF TRANSPORTATION""","""[FR Doc. 2017-02863 Filed 2-16-17; 8:45 am]""","""Airworthiness Directives; Bell Helicopter Textron Canada Limited Helicopters""","""prorule""",8bd89ce1-3d8c-4b08-b48f-c0e092a27e34,Fedreg Basic,,,f
Softlaw,"Pursuant to our bilateral agreement with France,","""DEPARTMENT OF TRANSPORTATION ""","""[FR Doc. E7-22812 Filed 11-27-07; 8:45 am] ""","""Airworthiness Directives; Societe de Motorisations Aeronautiques (SMA) SR305-230 and SR305-230-1 Reciprocating Engines ""","""rule""",e8a0b553-32de-41ba-8fa0-0e6d769c23cb,Fedreg Basic,,,f
Softlaw,"Pursuant to our bilateral agreement with the United Kingdom,","""DEPARTMENT OF TRANSPORTATION ""","""[FR Doc. E7-20923 Filed 10-23-07; 8:45 am]""","""Airworthiness Directives; Rolls-Royce plc RB211-524 Series Turbofan Engines ""","""prorule""",cf3de79e-782c-407b-a2f9-1df035f3c105,Fedreg Basic,,,f
Softlaw,treaty,"""DEPARTMENT OF DEFENSE ""","""[FR Doc. E7-23655 Filed 12-6-07; 8:45 am] ""","""Defense Federal Acquisition Regulation Supplement; Patent Rights-Ownership by the Contractor (DFARS Case 2001-D015) ""","""rule""",58c57702-0400-487b-924d-ddb718db3361,Fedreg Basic,,,f
Treaty,executive agreement,"""DEPARTMENT OF DEFENSE ""","""[FR Doc. E7-23655 Filed 12-6-07; 8:45 am] ""","""Defense Federal Acquisition Regulation Supplement; Patent Rights-Ownership by the Contractor (DFARS Case 2001-D015) ""","""rule""",58c57702-0400-487b-924d-ddb718db3361,Fedreg Basic,,,f
Agreement, treaty,"""DEPARTMENT OF COMMERCE""","""[FR Doc. 2017-19981 Filed 9-19-17; 8:45 am]""","""International Fisheries; Western and Central Pacific Fisheries for Highly Migratory Species; Fishing Limits in Purse Seine Fisheries for 2017""","""prorule""",3509f2ba-5b70-4b13-827a-7179f57a5e5a,Fedreg Basic,,,f
Treaty,CITES,"""DEPARTMENT OF THE INTERIOR""","""[FR Doc. 2018-17319 Filed 8-10-18; 8:45 am]""","""Endangered and Threatened Wildlife and Plants; Listing the Hyacinth Macaw""","""rule""",600f3f02-e7f4-49d8-8af1-ebb2a195c2bc,Fedreg Basic,,,f
Treaty,reaty,"""DEPARTMENT OF STATE""",""" [FR Doc. E7-21340 Filed 10-29-07; 8:45 am]""","""Hague Convention on Intercountry Adoption; Intercountry Adoption Act of 2000; Consular Officer Procedures in Convention Cases""","""rule""",9bb9aadf-16ce-4fb4-8189-e80952b465ae,Fedreg Basic,,,f
Treaty,The Hague Convention on Protection of Children and Co-operation in Respect of Intercountry Adoption,"""DEPARTMENT OF STATE""",""" [FR Doc. E7-21340 Filed 10-29-07; 8:45 am]""","""Hague Convention on Intercountry Adoption; Intercountry Adoption Act of 2000; Consular Officer Procedures in Convention Cases""","""rule""",9bb9aadf-16ce-4fb4-8189-e80952b465ae,Fedreg Basic,,,f
Treaty,treaty,"""DEPARTMENT OF COMMERCE""","""[FR Doc. 2018-07532 Filed 4-12-18; 8:45 am]""","""Rights to Federally Funded Inventions and Licensing of Government Owned Inventions""","""rule""",ee17579f-2f22-4ee4-a777-715cfaac0451,Fedreg Basic,,,f
Treaty,CITES,"""DEPARTMENT OF THE INTERIOR""","""[FR Doc. 2017-06663 Filed 4-4-17; 8:45 am]""","""Endangered and Threatened Wildlife and Plants; Removal of the Scarlet-Chested Parrot and the Turquoise Parrot From the Federal List of Endangered and Threatened Wildlife""","""rule""",21670ba5-f5a8-4ae7-9b8a-9cc1fd5af7ff,Fedreg Basic,,,f
Treaty,the Single Convention,"""DEPARTMENT OF JUSTICE """,""" [FR Doc. E7-24919 Filed 12-21-07; 8:45 am] ""","""Reexportation of Controlled Substances ""","""rule""",2e6e9d7c-121b-4890-838c-3791f2758cf0,Fedreg Basic,,,f
Treaty,"the Treaty on Fisheries between the Governments of Certain Pacific Island States and the Government of the United States of America, also known as the South Pacific Tuna Treaty (SPTT)","""DEPARTMENT OF COMMERCE""","""[FR Doc. 2018-06373 Filed 3-28-18; 8:45 am]""","""Tuna Conventions Act; Advance Notice of Rulemaking; Regulatory Amendments to Procedures for the Active and Inactive Vessel Register""","""prorule""",2ca5a74e-86d6-4be2-96eb-15a035ed9e1f,Fedreg Basic,,,f
Treaty,treaty,"""DEPARTMENT OF COMMERCE""","""[FR Doc. 2018-07532 Filed 4-12-18; 8:45 am]""","""Rights to Federally Funded Inventions and Licensing of Government Owned Inventions""","""rule""",41d469ca-c076-4a96-bfab-aa175d863f32,Fedreg Basic,,,f
Treaty,international agreement,"""DEPARTMENT OF COMMERCE""","""[FR Doc. 2018-07532 Filed 4-12-18; 8:45 am]""","""Rights to Federally Funded Inventions and Licensing of Government Owned Inventions""","""rule""",41d469ca-c076-4a96-bfab-aa175d863f32,Fedreg Basic,,,f
Treaty,CITES,"""DEPARTMENT OF THE INTERIOR""","""[FR Doc. 2018-19153 Filed 9-4-18; 8:45 am]""","""Endangered and Threatened Wildlife and Plants; Reclassifying the Golden Conure From Endangered to Threatened With a Section 4(d) Rule""","""prorule""",e1bde9f4-3d5c-426b-8d85-07f7be4978d1,Fedreg Basic,,,f
Treaty,reaty to protect migratory birds,"""DEPARTMENT OF THE INTERIOR""","""[FR Doc. 2019-16629 Filed 8-7-19; 8:45 am]""","""Migratory Bird Hunting; Normal Agricultural Operations""","""rule""",8fd26b4b-994b-45fa-ae6c-a12d1dea45c9,Fedreg Basic,,,f
Treaty,The Nice Agreement ,"""DEPARTMENT OF COMMERCE""","""[FR Doc. 2017-25880 Filed 11-30-17; 8:45 am]""","""International Trademark Classification Changes""","""rule""",eeba0f4f-62f3-48ed-aaa7-163befcb3e1b,Fedreg Basic,,,f
Foreing Policy,foreign policy,"""DEPARTMENT OF COMMERCE """,""" [FR Doc. E7-17525 Filed 9-4-07; 8:45 am] ""","""Effects of Foreign Policy-Based Export Controls ""","""prorule""",b30add46-cbf8-4c3d-8058-58431be8b698,Fedreg Basic,,,f
Foreing Policy,Entity List for actions contrary to the national security or foreign policy interests of the United States,"""DEPARTMENT OF COMMERCE""","""[FR Doc. 2017-27388 Filed 12-19-17; 8:45 am]""","""Addition of Certain Entities to the Entity List""","""rule""",4b8c3280-d4a5-4b4e-a79a-343f952bbbff,Fedreg Basic,,,f
Foreing Policy,foreign policy,"""FEDERAL COMMUNICATIONS COMMISSION""","""[FR Doc. 2018-08570 Filed 4-24-18; 8:45 am]""","""Reporting Requirements for U.S. Providers of International Services; 2016 Biennial Review of Telecommunications Regulations""","""rule""",29493052-24ba-478e-8d0a-512e8c1646a0,Fedreg Basic,,,f
Treaty,"conventions with Great Britain (for Canada), Mexico, Japan, and Russia.","""DEPARTMENT OF THE INTERIOR""","""[FR Doc. 2018-15103 Filed 7-13-18; 8:45 am]""","""Migratory Bird Permits; Removal of Depredation Orders for Double-Crested Cormorants To Protect Aquaculture Facilities and Public Resources""","""rule""",3ee00bd1-aa0a-442d-85b3-1574df748157,Fedreg Basic,,,f
Treaty,bilateral income tax convention,"""DEPARTMENT OF THE TREASURY """,""" [FR Doc. E7-14624 Filed 7-30-07; 8:45 am] ""","""Application of Section 409A to Nonqualified Deferred Compensation Plans; Correction ""","""rule""",973ec27c-902a-4286-8ba0-01e738b616a8,Fedreg Basic,,,f
Agreement,bilateral or multilateral agreemen,"""DEPARTMENT OF THE TREASURY """,""" [FR Doc. E7-14624 Filed 7-30-07; 8:45 am] ""","""Application of Section 409A to Nonqualified Deferred Compensation Plans; Correction ""","""rule""",973ec27c-902a-4286-8ba0-01e738b616a8,Fedreg Basic,,,f
Treaty,four bilateral migratory bird treaties,"""DEPARTMENT OF THE INTERIOR""","""[FR Doc. 2018-08500 Filed 4-24-18; 8:45 am]""","""Migratory Bird Permits; Regulations for Managing Resident Canada Goose Populations""","""prorule""",ac0d4225-1dc5-49cd-93fd-2f0af9fc55e4,Fedreg Basic,,,f
Treaty,four bilateral migratory bird treaties,"""DEPARTMENT OF THE INTERIOR""","""[FR Doc. 2019-13097 Filed 6-19-19; 8:45 am]""","""Migratory Bird Permits; Regulations for Managing Resident Canada Goose Populations""","""rule""",b7fbf5eb-87b9-47ea-a4d8-5671ceafae96,Fedreg Basic,,,f
Treaty,Convention on International Trade in Endangered Species of Wild Fauna and Flora (CITES),"""DEPARTMENT OF THE INTERIOR ""","""[FR Doc. E7-10823 Filed 6-5-07; 8:45 am] ""","""Endangered and Threatened Wildlife and Plants; 90-Day Finding on a Petition To List the Yellow-Billed Loon as Threatened or Endangered ""","""prorule""",93b53f2e-716d-4977-bc8f-56529e068a2d,Fedreg Basic,,,f
